title,romanized,productId,platform,gameFilename,thumbnailFilename,manualFilename,musicFilename,Store Page
BEE & FLOWER,Bee & Flower,1654,MSX,COM1052a.bin,COM1052.bmp,COM1052m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1654
Blaster Burn Collection 1 ,Blaster Burn Collection 1,818,MSX,COM3012a.bin,COM3012.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=818
Blaster Burn Collection 2 ,Blaster Burn Collection 2,832,MSX2,COM3013a.bin,COM3013.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=832
BROADWAY LEGEND ELENA,Broadway Legend Elena,994,PC-9801,COM3028a.bin,,,,https://www.amusement-center.com/project/egg/game/?product_id=994
BURAI上巻,Burai - Joukan,111,PC-9801,RIV0012a.bin,RIV0012.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=111
BURAI上巻,Burai - Joukan,117,MSX2,RIV1004a.bin,RIV1004.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=117
BURAI上巻,Burai - Joukan,688,PC-8801,RIV0024a.bin,RIV0024.bmp,RIV0024m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=688
BURAI下巻,Burai - Gekan,112,PC-9801,RIV0013a.bin,RIV0013.bmp,RIV0013m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=112
BURAI完結編,Burai - Kanketsu-hen,119,MSX2,RIV1005a.bin,RIV1005.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=119
C-SO,C-So!,1762,MSX,COM1056a.bin,COM1056.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1762
Ｃａｓｔｌｅ EXCELLENT,Castle Excellent,279,PC-8801,EBS0003a.bin,EBS0003.bmp,EBS0003m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=279
Castle EXCELLENT,Castle Excellent,1336,PC-8801,EBS0015a.bin,EBS0015.bmp,EBS0015m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1336
Chima Chima,Chima Chima,748,PC-8801,BOT3006a.bin,BOT3006.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=748
Chima Chima,Chima Chima,1013,MSX,BOT3022a.bin,BOT3022.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1013
Compile Shooting Collection  ,Compile Shooting Collection,789,MSX,COM3010a.bin,COM3010.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=789
CREASTAR,Creastar,990,PC-9801,BOT3020a.bin,BOT3020.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=990
CRUISE CHASER BLASSTY,Cruise Chaser Blassty,1166,PC-8801,SQE0005a.bin,SQE0005.bmp,SQE0005m.bin,SQE0005d.bin,https://www.amusement-center.com/project/egg/game/?product_id=1166
CRYSTAL PRISON,Crystal Prison,208,PC-8801,BOT0012a.bin,BOT0012.bmp,BOT0012m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=208
CRYSTAL PRISON,Crystal Prison,1391,PC-8801,BOT0012a.bin,BOT0012.bmp,BOT0012m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1391
Ｄ〜欧州蜃気楼〜,D - Oushuu Shinkirou,411,PC-9801,TEL0031a.bin,TEL0031.bmp,TEL0031m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=411
DAI-SENRYAKU,Daisenryaku,1081,FC,BOT3025a.bin,BOT3025.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1081
DCコネクション,DC Connection,107,PC-9801,RIV0002a.bin,RIV0002.bmp,RIV0002m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=107
DCコネクション,DC Connection,378,MSX2,RIV1006a.bin,RIV1006.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=378
DCコネクション  ,DC Connection,787,PC-8801,RIV0027a.bin,RIV0027.bmp,RIV0027m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=787
DE・BLOCK,De Block,1474,FC,ATN0010a.bin,ATN0010.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1474
DEVIL FORCE III〜剣と花束〜,DEVIL FORCE III: Ken to Hanataba,1267,Windows,COM5034a.bin,,COM5034m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1267
DIRES -giger・loop-,Dires - Giger Loop,808,MSX2,BOT3010a.bin,BOT3010.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=808
DIRES -giger・loop-,Dires - Giger Loop,1110,PC-9801,BOT0038a.bin,BOT0038.bmp,BOT0038m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1110
DIRES -giger・loop-,Dires - Giger Loop,1200,FM77AV,BOT0040a.bin,BOT0040.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1200
DIRES -giger・loop-,Dires - Giger Loop,1361,PC-9801,BOT0038a.bin,BOT0038.bmp,BOT0038m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1361
DIRES -giger・loop-,Dires - Giger Loop,1514,FM77AV,BOT0040a.bin,BOT0040.bmp,BOT0040m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1514
DIRES -giger・loop- ,Dires - Giger Loop,958,MSX2,BOT1017a.bin,BOT1017.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=958
DIRES -giger・loop-  ,Dires - Giger Loop,727,MSX2,BOT1017a.bin,BOT1017.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=727
DISC SAGA　依頼者はモンスター？,Disc Saga - Iraisha wa Monster,851,PC-9801,COM0025a.bin,COM0025.bmp,COM0025m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=851
DISC SAGA 依頼者はモンスター？,Disc Saga - Iraisha wa Monster,1490,PC-9801,COM0025a.bin,COM0025.bmp,COM0025m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1490
DISC SAGA 依頼者はモンスター？  ,Disc Saga - Iraisha wa Monster,755,PC-9801,COM0025a.bin,COM0025.bmp,COM0025m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=755
DISC SAGA 渚のバカ大将,Disc Saga - Nagisa no Baka Taishou,1128,PC-9801,COM0030a.bin,COM0030.bmp,COM0030m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1128
DISC SAGA　渚のバカ大将  ,Disc Saga - Nagisa no Baka Taishou,764,PC-9801,COM0030a.bin,COM0030.bmp,COM0030m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=764
